text,label
People throw away banana peel not knowing it needs special,biodegradable
Rubber tire often found in waste requires correct disposal methods,non_biodegradable
People throw away ceramic plate not knowing it needs special,non_biodegradable
People throw away wood chips not knowing it needs special,biodegradable
People throw away broken thermometer not knowing it needs special,other
Plastic bag often found in waste requires correct disposal methods,non_biodegradable
Used test kit often found in waste requires correct disposal,other
Used wood chips improperly disposed can harm environment and health,biodegradable
Discarded x-ray film often found in waste requires correct disposal,other
People throw away vegetable scraps not knowing it needs special,biodegradable
People throw away tea bags not knowing it needs special,biodegradable
Used discarded X-ray film improperly disposed can harm environment and,other
Expired medicine often found in waste requires correct disposal methods,other
People throw away vegetable scraps not knowing it needs special,biodegradable
Ceramic plate often found in waste requires correct disposal methods,non_biodegradable
People throw away glass jar not knowing it needs special,non_biodegradable
Ceramic plate often found in waste requires correct disposal methods,non_biodegradable
Discarded obsolete computer waste should be handled with care responsibly,other
Expired medicine often found in waste requires correct disposal methods,other
Used syringe often found in waste requires correct disposal methods,other
People throw away eggshells not knowing it needs special disposal,biodegradable
People throw away used test kit not knowing it needs,other
People throw away damaged battery not knowing it needs special,other
Used wood chips improperly disposed can harm environment and health,biodegradable
Used eggshells improperly disposed can harm environment and health waste,biodegradable
Used test kit often found in waste requires correct disposal,other
People throw away old mobile phone not knowing it needs,other
Discarded tea bags waste should be handled with care responsibly,biodegradable
Used apple core improperly disposed can harm environment and health,biodegradable
People throw away expired medicine not knowing it needs special,other
A apple core is common waste requiring safe disposal to,biodegradable
People throw away paper towel not knowing it needs special,biodegradable
People throw away discarded X-ray film not knowing it needs,other
A ceramic plate is common waste requiring safe disposal to,non_biodegradable
A glass jar is common waste requiring safe disposal to,non_biodegradable
A eggshells is common waste requiring safe disposal to avoid,biodegradable
Discarded apple core waste should be handled with care responsibly,biodegradable
People throw away plastic bag not knowing it needs special,non_biodegradable
Discarded plastic bottle waste should be handled with care responsibly,non_biodegradable
A fluorescent tube is common waste requiring safe disposal to,other
People throw away broken thermometer not knowing it needs special,other
People throw away used test kit not knowing it needs,other
A old mobile phone is common waste requiring safe disposal,other
Wood chips often found in waste requires correct disposal methods,biodegradable
Discarded tea bags waste should be handled with care responsibly,biodegradable
A tea bags is common waste requiring safe disposal to,biodegradable
Used paper towel improperly disposed can harm environment and health,biodegradable
A used test kit is common waste requiring safe disposal,other
A grass clippings is common waste requiring safe disposal to,biodegradable
People throw away fluorescent tube not knowing it needs special,other
People throw away metal can not knowing it needs special,non_biodegradable
Discarded x-ray film often found in waste requires correct disposal,other
A apple core is common waste requiring safe disposal to,biodegradable
Used syringe often found in waste requires correct disposal methods,other
People throw away glass jar not knowing it needs special,non_biodegradable
A discarded X-ray film is common waste requiring safe disposal,other
Used test kit often found in waste requires correct disposal,other
Discarded plastic bottle waste should be handled with care responsibly,non_biodegradable
People throw away medical gloves not knowing it needs special,other
Glass jar often found in waste requires correct disposal methods,non_biodegradable
Discarded vegetable scraps waste should be handled with care responsibly,biodegradable
Medical gloves often found in waste requires correct disposal methods,other
Used discarded X-ray film improperly disposed can harm environment and,other
Discarded old mobile phone waste should be handled with care,other
People throw away tea bags not knowing it needs special,biodegradable
A used test kit is common waste requiring safe disposal,other
Discarded used test kit waste should be handled with care,other
Used rubber tire improperly disposed can harm environment and health,non_biodegradable
People throw away wood chips not knowing it needs special,biodegradable
People throw away used test kit not knowing it needs,other
Used metal can improperly disposed can harm environment and health,non_biodegradable
Used eggshells improperly disposed can harm environment and health waste,biodegradable
Discarded plastic bag waste should be handled with care responsibly,non_biodegradable
People throw away fluorescent tube not knowing it needs special,other
A medical gloves is common waste requiring safe disposal to,other
People throw away vegetable scraps not knowing it needs special,biodegradable
People throw away paper towel not knowing it needs special,biodegradable
Used paper towel improperly disposed can harm environment and health,biodegradable
Used ceramic plate improperly disposed can harm environment and health,non_biodegradable
Old mobile phone often found in waste requires correct disposal,other
Damaged battery often found in waste requires correct disposal methods,other
Medical gloves often found in waste requires correct disposal methods,other
Styrofoam cup often found in waste requires correct disposal methods,non_biodegradable
A used test kit is common waste requiring safe disposal,other
Used plastic bag improperly disposed can harm environment and health,non_biodegradable
A broken thermometer is common waste requiring safe disposal to,other
A eggshells is common waste requiring safe disposal to avoid,biodegradable
People throw away medical gloves not knowing it needs special,other
Damaged battery often found in waste requires correct disposal methods,other
Grass clippings often found in waste requires correct disposal methods,biodegradable
Discarded fluorescent tube waste should be handled with care responsibly,other
A old mobile phone is common waste requiring safe disposal,other
Fluorescent tube often found in waste requires correct disposal methods,other
Discarded apple core waste should be handled with care responsibly,biodegradable
Discarded ceramic plate waste should be handled with care responsibly,non_biodegradable
Used rubber tire improperly disposed can harm environment and health,non_biodegradable
Discarded x-ray film often found in waste requires correct disposal,other
Used glass jar improperly disposed can harm environment and health,non_biodegradable
Used damaged battery improperly disposed can harm environment and health,other
Used test kit often found in waste requires correct disposal,other
People throw away garden leaves not knowing it needs special,biodegradable
Discarded plastic bottle waste should be handled with care responsibly,non_biodegradable
Discarded metal can waste should be handled with care responsibly,non_biodegradable
Styrofoam cup often found in waste requires correct disposal methods,non_biodegradable
Used plastic bag improperly disposed can harm environment and health,non_biodegradable
Discarded coffee grounds waste should be handled with care responsibly,biodegradable
Used rubber tire improperly disposed can harm environment and health,non_biodegradable
Discarded aluminium foil waste should be handled with care responsibly,non_biodegradable
Wood chips often found in waste requires correct disposal methods,biodegradable
Discarded coffee grounds waste should be handled with care responsibly,biodegradable
Discarded obsolete computer waste should be handled with care responsibly,other
A ceramic plate is common waste requiring safe disposal to,non_biodegradable
Discarded expired medicine waste should be handled with care responsibly,other
Discarded ceramic plate waste should be handled with care responsibly,non_biodegradable
Glass jar often found in waste requires correct disposal methods,non_biodegradable
Used old mobile phone improperly disposed can harm environment and,other
Used tea bags improperly disposed can harm environment and health,biodegradable
Used ceramic plate improperly disposed can harm environment and health,non_biodegradable
Discarded used test kit waste should be handled with care,other
Discarded used syringe waste should be handled with care responsibly,other
Discarded medical gloves waste should be handled with care responsibly,other
Used coffee grounds improperly disposed can harm environment and health,biodegradable
A synthetic fabric is common waste requiring safe disposal to,non_biodegradable
Used tea bags improperly disposed can harm environment and health,biodegradable
A garden leaves is common waste requiring safe disposal to,biodegradable
People throw away synthetic fabric not knowing it needs special,non_biodegradable
Paper towel often found in waste requires correct disposal methods,biodegradable
A metal can is common waste requiring safe disposal to,non_biodegradable
Metal can often found in waste requires correct disposal methods,non_biodegradable
Coffee grounds often found in waste requires correct disposal methods,biodegradable
A used syringe is common waste requiring safe disposal to,other
A paper towel is common waste requiring safe disposal to,biodegradable
Discarded banana peel waste should be handled with care responsibly,biodegradable
Used fluorescent tube improperly disposed can harm environment and health,other
People throw away synthetic fabric not knowing it needs special,non_biodegradable
Vegetable scraps often found in waste requires correct disposal methods,biodegradable
People throw away synthetic fabric not knowing it needs special,non_biodegradable
Plastic bottle often found in waste requires correct disposal methods,non_biodegradable
Discarded synthetic fabric waste should be handled with care responsibly,non_biodegradable
Discarded fluorescent tube waste should be handled with care responsibly,other
A fluorescent tube is common waste requiring safe disposal to,other
Damaged battery often found in waste requires correct disposal methods,other
Used used syringe improperly disposed can harm environment and health,other
Obsolete computer often found in waste requires correct disposal methods,other
Discarded styrofoam cup waste should be handled with care responsibly,non_biodegradable
Old mobile phone often found in waste requires correct disposal,other
Garden leaves often found in waste requires correct disposal methods,biodegradable
Discarded paper towel waste should be handled with care responsibly,biodegradable
People throw away grass clippings not knowing it needs special,biodegradable
Used old mobile phone improperly disposed can harm environment and,other
A aluminium foil is common waste requiring safe disposal to,non_biodegradable
People throw away discarded X-ray film not knowing it needs,other
People throw away eggshells not knowing it needs special disposal,biodegradable
Discarded broken thermometer waste should be handled with care responsibly,other
Used PVC pipe improperly disposed can harm environment and health,non_biodegradable
People throw away synthetic fabric not knowing it needs special,non_biodegradable
Old mobile phone often found in waste requires correct disposal,other
A glass jar is common waste requiring safe disposal to,non_biodegradable
Discarded used syringe waste should be handled with care responsibly,other
People throw away glass jar not knowing it needs special,non_biodegradable
Pvc pipe often found in waste requires correct disposal methods,non_biodegradable
A apple core is common waste requiring safe disposal to,biodegradable
Used discarded X-ray film improperly disposed can harm environment and,other
People throw away glass jar not knowing it needs special,non_biodegradable
Used discarded X-ray film improperly disposed can harm environment and,other
Coffee grounds often found in waste requires correct disposal methods,biodegradable
Used used syringe improperly disposed can harm environment and health,other
A styrofoam cup is common waste requiring safe disposal to,non_biodegradable
People throw away ceramic plate not knowing it needs special,non_biodegradable
Metal can often found in waste requires correct disposal methods,non_biodegradable
Metal can often found in waste requires correct disposal methods,non_biodegradable
Used vegetable scraps improperly disposed can harm environment and health,biodegradable
Discarded rubber tire waste should be handled with care responsibly,non_biodegradable
People throw away plastic bag not knowing it needs special,non_biodegradable
A synthetic fabric is common waste requiring safe disposal to,non_biodegradable
Pvc pipe often found in waste requires correct disposal methods,non_biodegradable
Discarded used test kit waste should be handled with care,other
Plastic bottle often found in waste requires correct disposal methods,non_biodegradable
Discarded garden leaves waste should be handled with care responsibly,biodegradable
Used wood chips improperly disposed can harm environment and health,biodegradable
People throw away paper towel not knowing it needs special,biodegradable
Garden leaves often found in waste requires correct disposal methods,biodegradable
Wood chips often found in waste requires correct disposal methods,biodegradable
Garden leaves often found in waste requires correct disposal methods,biodegradable
Used used test kit improperly disposed can harm environment and,other
Used plastic bottle improperly disposed can harm environment and health,non_biodegradable
Used garden leaves improperly disposed can harm environment and health,biodegradable
A apple core is common waste requiring safe disposal to,biodegradable
Discarded PVC pipe waste should be handled with care responsibly,non_biodegradable
People throw away plastic bottle not knowing it needs special,non_biodegradable
People throw away glass jar not knowing it needs special,non_biodegradable
Broken thermometer often found in waste requires correct disposal methods,other
People throw away grass clippings not knowing it needs special,biodegradable
People throw away grass clippings not knowing it needs special,biodegradable
Used coffee grounds improperly disposed can harm environment and health,biodegradable
Broken thermometer often found in waste requires correct disposal methods,other
People throw away styrofoam cup not knowing it needs special,non_biodegradable
Used used test kit improperly disposed can harm environment and,other
A medical gloves is common waste requiring safe disposal to,other
People throw away metal can not knowing it needs special,non_biodegradable
Used ceramic plate improperly disposed can harm environment and health,non_biodegradable
Styrofoam cup often found in waste requires correct disposal methods,non_biodegradable
A used test kit is common waste requiring safe disposal,other
People throw away banana peel not knowing it needs special,biodegradable
Garden leaves often found in waste requires correct disposal methods,biodegradable
Coffee grounds often found in waste requires correct disposal methods,biodegradable
Used damaged battery improperly disposed can harm environment and health,other
Discarded tea bags waste should be handled with care responsibly,biodegradable
Discarded fluorescent tube waste should be handled with care responsibly,other
A tea bags is common waste requiring safe disposal to,biodegradable
Used test kit often found in waste requires correct disposal,other
Used rubber tire improperly disposed can harm environment and health,non_biodegradable
A vegetable scraps is common waste requiring safe disposal to,biodegradable
People throw away old mobile phone not knowing it needs,other
People throw away synthetic fabric not knowing it needs special,non_biodegradable
Used apple core improperly disposed can harm environment and health,biodegradable
Used metal can improperly disposed can harm environment and health,non_biodegradable
People throw away tea bags not knowing it needs special,biodegradable
Used fluorescent tube improperly disposed can harm environment and health,other
People throw away plastic bag not knowing it needs special,non_biodegradable
Grass clippings often found in waste requires correct disposal methods,biodegradable
People throw away grass clippings not knowing it needs special,biodegradable
Used rubber tire improperly disposed can harm environment and health,non_biodegradable
A styrofoam cup is common waste requiring safe disposal to,non_biodegradable
A metal can is common waste requiring safe disposal to,non_biodegradable
People throw away garden leaves not knowing it needs special,biodegradable
Eggshells often found in waste requires correct disposal methods today,biodegradable
A styrofoam cup is common waste requiring safe disposal to,non_biodegradable
Used wood chips improperly disposed can harm environment and health,biodegradable
People throw away rubber tire not knowing it needs special,non_biodegradable
People throw away paper towel not knowing it needs special,biodegradable
Discarded banana peel waste should be handled with care responsibly,biodegradable
Ceramic plate often found in waste requires correct disposal methods,non_biodegradable
Used synthetic fabric improperly disposed can harm environment and health,non_biodegradable
A plastic bottle is common waste requiring safe disposal to,non_biodegradable
Used coffee grounds improperly disposed can harm environment and health,biodegradable
A glass jar is common waste requiring safe disposal to,non_biodegradable
Discarded synthetic fabric waste should be handled with care responsibly,non_biodegradable
People throw away PVC pipe not knowing it needs special,non_biodegradable
A old mobile phone is common waste requiring safe disposal,other
Apple core often found in waste requires correct disposal methods,biodegradable
Pvc pipe often found in waste requires correct disposal methods,non_biodegradable
Discarded damaged battery waste should be handled with care responsibly,other
Used discarded X-ray film improperly disposed can harm environment and,other
Used aluminium foil improperly disposed can harm environment and health,non_biodegradable
Discarded banana peel waste should be handled with care responsibly,biodegradable
Discarded paper towel waste should be handled with care responsibly,biodegradable
Old mobile phone often found in waste requires correct disposal,other
A garden leaves is common waste requiring safe disposal to,biodegradable
People throw away eggshells not knowing it needs special disposal,biodegradable
Discarded damaged battery waste should be handled with care responsibly,other
Banana peel often found in waste requires correct disposal methods,biodegradable
Aluminium foil often found in waste requires correct disposal methods,non_biodegradable
Used styrofoam cup improperly disposed can harm environment and health,non_biodegradable
Used test kit often found in waste requires correct disposal,other
A metal can is common waste requiring safe disposal to,non_biodegradable
Discarded tea bags waste should be handled with care responsibly,biodegradable
A synthetic fabric is common waste requiring safe disposal to,non_biodegradable
People throw away PVC pipe not knowing it needs special,non_biodegradable
Glass jar often found in waste requires correct disposal methods,non_biodegradable
A coffee grounds is common waste requiring safe disposal to,biodegradable
Expired medicine often found in waste requires correct disposal methods,other
Discarded x-ray film often found in waste requires correct disposal,other
Discarded synthetic fabric waste should be handled with care responsibly,non_biodegradable
A plastic bottle is common waste requiring safe disposal to,non_biodegradable
Discarded used syringe waste should be handled with care responsibly,other
People throw away coffee grounds not knowing it needs special,biodegradable
Medical gloves often found in waste requires correct disposal methods,other
Discarded coffee grounds waste should be handled with care responsibly,biodegradable
Aluminium foil often found in waste requires correct disposal methods,non_biodegradable
A aluminium foil is common waste requiring safe disposal to,non_biodegradable
A plastic bag is common waste requiring safe disposal to,non_biodegradable
A garden leaves is common waste requiring safe disposal to,biodegradable
People throw away expired medicine not knowing it needs special,other
People throw away PVC pipe not knowing it needs special,non_biodegradable
A used test kit is common waste requiring safe disposal,other
A vegetable scraps is common waste requiring safe disposal to,biodegradable
Discarded eggshells waste should be handled with care responsibly waste,biodegradable
Discarded plastic bag waste should be handled with care responsibly,non_biodegradable
People throw away expired medicine not knowing it needs special,other
Discarded used test kit waste should be handled with care,other
Discarded old mobile phone waste should be handled with care,other
A obsolete computer is common waste requiring safe disposal to,other
People throw away rubber tire not knowing it needs special,non_biodegradable
Obsolete computer often found in waste requires correct disposal methods,other
Used discarded X-ray film improperly disposed can harm environment and,other
People throw away synthetic fabric not knowing it needs special,non_biodegradable
